Time(s),Resistance (Mohm),LA Conc (mM),Electrode Distance (mm)
142,81.2,0.055,1
143,81.2,0.055,1
144,81.2,0.055,1
145,81.2,0.055,1
146,81.2,0.055,1
147,81.2,0.055,1
148,81.2,0.055,1
149,81.2,0.055,1
150,81.2,0.055,1
151,81.2,0.11,1
152,81.2,0.11,1
153,81.2,0.11,1
154,81.2,0.11,1
155,81.2,0.11,1
156,81.2,0.11,1
157,81.2,0.11,1
158,81.2,0.11,1
159,81.2,0.11,1
160,81.2,0.11,1
161,81.2,0.11,1
162,81.2,0.11,1
163,81.2,0.11,1
164,81.2,0.11,1
165,81.2,0.11,1
166,81.2,0.11,1
167,81.2,0.11,1
168,81.2,0.11,1
169,81.2,0.11,1
170,81.2,0.11,1
171,81.2,0.11,1
172,81.2,0.11,1
173,81.2,0.11,1
174,81.2,0.11,1
175,81.2,0.11,1
176,81.2,0.11,1
177,81.2,0.11,1
178,81.2,0.11,1
179,81.2,0.11,1
180,81.2,0.11,1
181,81.2,0.11,1
182,81.2,0.11,1
183,81.2,0.11,1
184,81.2,0.11,1
185,81.2,0.11,1
186,81.2,0.11,1
187,81.2,0.11,1
188,81.2,0.11,1
189,81.2,0.11,1
190,81.2,0.11,1
191,81.2,0.11,1
192,81.2,0.11,1
193,81.2,0.11,1
194,81.2,0.11,1
195,81.2,0.11,1
196,81.2,0.11,1
197,81.2,0.11,1
198,81.2,0.11,1
199,81.2,0.11,1
200,81.2,0.11,1
201,81.2,0.11,1
202,81.2,0.11,1
203,81.2,0.11,1
204,81.2,0.11,1
205,81.2,0.11,1
206,81.2,0.11,1
207,81.2,0.11,1
208,81.2,0.11,1
209,81.2,0.11,1
210,81.2,0.11,1
211,81.2,0.11,1
212,81.2,0.11,1
213,81.2,0.11,1
214,81.2,0.11,1
215,81.2,0.11,1
216,81.2,0.11,1
217,81.2,0.11,1
218,81.2,0.11,1
219,81.2,0.11,1
220,81.2,0.11,1
221,81.2,0.11,1
222,81.2,0.11,1
223,81.2,0.11,1
224,81.2,0.11,1
225,81.2,0.11,1
226,81.2,0.11,1
227,81.2,0.11,1
228,81.2,0.11,1
229,81.2,0.11,1
230,81.2,0.11,1
231,81.2,0.11,1
232,81.2,0.11,1
233,81.2,0.11,1
234,81.2,0.11,1
235,81.2,0.11,1
236,81.2,0.11,1
237,81.2,0.11,1
238,81.2,0.11,1
239,81.2,0.11,1
240,81.2,0.11,1
241,81.2,0.11,1
242,81.2,0.11,1
243,81.2,0.11,1
244,81.2,0.11,1
245,81.2,0.11,1
246,81.2,0.11,1
247,81.2,0.11,1
248,81.2,0.11,1
249,81.2,0.11,1
250,81.2,0.11,1
251,81.2,0.11,1
252,81.2,0.11,1
253,81.2,0.11,1
254,81.2,0.11,1
255,81.2,0.11,1
256,81.2,0.11,1
257,81.2,0.11,1
258,81.2,0.11,1
259,81.2,0.11,1
260,81.2,0.11,1
261,81.2,0.11,1
262,81.2,0.11,1
263,81.2,0.11,1
264,81.2,0.11,1
